,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
207,Xylan Mono,24,SubCommB68_rep2.0,0.065305028,0.143064316,0.094205297,0,1.512553869,0,0.00351274,0,0,0
208,Xylan Mono,0,SubCommD9,0,0,0,0.0075,0.0075,0,0,0,0,0
209,Xylan Mono,24,SubCommD9_rep0.0,0,0,0,0.042861431,2.247354927,0,0,0,0,0
210,Xylan Mono,24,SubCommD9_rep1.0,0,0,0,0.046996616,2.531942671,0,0,0,0,0
211,Xylan Mono,24,SubCommD9_rep2.0,0,0,0,0.026089957,2.267910043,0,0,0,0,0
212,Xylan Mono,0,subcomm8,0.002142857,0.002142857,0,0.002142857,0,0,0.002142857,0.002142857,0.002142857,0.002142857
213,Xylan Mono,24,subcomm8_rep1.0,0.095820733,0.552922082,0,0.617887498,0,0,0.013149313,0.065095607,0.018617343,0.660069451
214,Xylan Mono,24,subcomm8_rep2.0,0.116244719,0.474893568,0,0.685327872,0,0,0.01507438,0.079924567,0.020638749,0.645466758
215,Xylan Mono,12,subcomm8_rep0.0,0.054752084,1.020788849,0,0.012500476,0,0,0.003000114,0.03075117,0,0.192007307
216,Xylan Mono,12,subcomm8_rep1.0,0.046365216,0.856971859,0,0.015978167,0,0,0.00385188,0.021969979,0.002282595,0.160780304
217,Xylan Mono,12,subcomm8_rep2.0,0.049308265,0.863111853,0,0.009557549,0,0,0.001520519,0.024871349,0.00217217,0.187458294
218,Xylan Mono,6,subcomm8_rep0.0,0.020946916,0.044685847,0,0.004943908,0,0,0.002723916,0.014600191,0.003282319,0.008416901
219,Xylan Mono,6,subcomm8_rep1.0,0.021004198,0.047919689,0,0.004630139,0,0,0.003337746,0.012654214,0.003528795,0.008125219
220,Xylan Mono,6,subcomm8_rep2.0,0.02167304,0.049560243,0,0.004683581,0,0,0.002556072,0.014035436,0.003137693,0.007453934
221,Xylan Mono,0,subcomm11,0.001875,0,0.001875,0.001875,0,0.001875,0.001875,0.001875,0.001875,0.001875
222,Xylan Mono,12,subcomm11_rep0.0,0.076323472,0,0.002915774,0.021231765,0,0.068192158,0.001478421,0.038931747,0.002546169,0.016180494
223,Xylan Mono,12,subcomm11_rep1.0,0.081309914,0,0.003469292,0.021458211,0,0.055123188,0.002081575,0.040449369,0.002672639,0.011435813
224,Xylan Mono,12,subcomm11_rep2.0,0.083268531,0,0.00247034,0.020124232,0,0.058263871,0.001687061,0.041302878,0.002681223,0.010001864
225,Xylan Mono,6,subcomm11_rep0.0,0.038645695,0,0.010007618,0.012765531,0,0.014883422,0.002455357,0.019922141,0.003909953,0.013510284
226,Xylan Mono,6,subcomm11_rep1.0,0.039824813,0,0.008298268,0.014363047,0,0.016871427,0.002697367,0.022626954,0.004432615,0.012885509
227,Xylan Mono,6,subcomm11_rep2.0,0.039633698,0,0.016290357,0.012680562,0,0.013883827,0.002554624,0.0246947,0.003332118,0.008830114
228,Xylan Mono,0,SubCommB40,0,0,0.00375,0.00375,0,0,0,0.00375,0.00375,0
229,Xylan Mono,24,SubCommB40_rep0.0,0,0,0.006415351,0.150798481,0,0,0,0.68221595,0.288841735,0
230,Xylan Mono,24,SubCommB40_rep1.0,0,0,0.005598493,0.154518404,0,0,0,0.714181076,0.292054712,0
231,Xylan Mono,0,SubCommC72,0.003,0.003,0,0.003,0,0.003,0,0,0,0.003
232,Xylan Mono,24,SubCommC72_rep0.0,0.596563154,0.210657162,0,0.523505458,0,0.473306304,0,0,0,0.203934061
233,Xylan Mono,24,SubCommC72_rep1.0,0.107796538,0.067073402,0,0.22483278,0,1.401012787,0,0,0,0.13312017
234,Xylan Mono,24,SubCommC72_rep2.0,0.12010213,0.09002438,0,0.187568197,0,1.383785416,0,0,0,0.116760158
235,Xylan Mono,0,SubCommD16,0,0,0,0,0,0.00375,0.00375,0.00375,0.00375,0
236,Xylan Mono,24,SubCommD16_rep0.0,0,0,0,0,0,0.480461527,0.030826351,0.222901469,0.521310653,0
237,Xylan Mono,24,SubCommD16_rep1.0,0,0,0,0,0,0.492500125,0.041111239,0.284996188,0.568392447,0
238,Xylan Mono,24,SubCommD16_rep2.0,0,0,0,0,0,0.570114774,0.040098184,0.281554634,0.507732408,0
239,Xylan Mono,0,comm10,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
240,Xylan Mono,24,comm10_rep0.0,0.052994076,0.095619746,0.023616925,0.08525134,0.989030748,0.115204513,0,0.169926657,0,0.101955994
241,Xylan Mono,24,comm10_rep1.0,0.065591108,0.081339896,0.023190524,0.089127759,0.98213598,0.129624643,0.003980463,0.137585569,0,0.087224059
242,Xylan Mono,24,comm10_rep2.0,0.061778912,0.078932555,0.025665978,0.090798233,1.007292902,0.123170899,0.003998218,0.141743265,0.002579495,0.099439543
243,Xylan Mono,12,comm10_rep0.0,0.036378291,0.489880691,0.002656841,0.01941538,0.69834056,0.043326953,0,0.015123559,0,0.031677725
244,Xylan Mono,12,comm10_rep2.0,0.025874747,0.516617826,0.012718096,0.012937373,0.64686867,0.028944632,0,0.017761479,0,0.037277178
245,Xylan Mono,6,comm10_rep0.0,0.011458534,0.030757118,0.019298584,0.002096424,0.081817953,0.004882082,0.001665652,0.005140545,0.001579497,0.003503612
