,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
115,No carb,0.0,COMM10<BT_rep1.0_passage2.0,8.322368421052632e-05,0.00020679824561403503,0.0,0.01721469298245614,0.000625438596491228,0.0016342105263157894,6.557017543859648e-05,5.2960526315789475e-05,0.002186513157894737,0.014155592105263159
116,No carb,0.0,COMM10<BT_rep2.0_passage2.0,7.415938780242715e-05,0.00026811470974723664,0.0,0.01759859318234521,0.0006103888072969005,0.0010895725438664296,9.412537682615751e-05,3.9931978047460763e-05,0.0023331684316302078,0.014791945582437968
117,No carb,24.0,COMM10<BT_rep0.0_passage2.0,0.0007272135416666666,0.0017453125,0.00141806640625,0.40523974609375,0.00436328125,0.00119990234375,0.006181315104166667,0.0,0.0026543294270833327,0.13420725911458334
118,No carb,24.0,COMM10<BT_rep1.0_passage2.0,0.001693516699410609,0.0017931353287877036,0.001270137524557957,0.4264175430486536,0.004059459147116607,0.0004980931468854731,0.0014693747833121461,0.0,0.009712816364266729,0.1991874494395008
119,No carb,24.0,COMM10<BT_rep2.0_passage2.0,0.002440047859157337,0.0015217502777540382,0.0011281941714383385,0.3015164515853346,0.004381591316981454,0.0006034526963507392,0.0009445346551576787,0.0,0.009182975814032988,0.2914414152636527
120,No carb,0.0,COMM10<BT_rep0.0_passage3.0,3.636067708333333e-05,8.7265625e-05,7.09033203125e-05,0.0202619873046875,0.0002181640625,5.99951171875e-05,0.00030906575520833334,0.0,0.00013271647135416664,0.006710362955729167
121,No carb,0.0,COMM10<BT_rep1.0_passage3.0,8.467583497053045e-05,8.965676643938518e-05,6.350687622789784e-05,0.02132087715243268,0.00020297295735583035,2.4904657344273656e-05,7.346873916560731e-05,0.0,0.00048564081821333646,0.00995937247197504
122,No carb,0.0,COMM10<BT_rep2.0_passage3.0,0.00012200239295786686,7.608751388770191e-05,5.640970857191692e-05,0.01507582257926673,0.00021907956584907268,3.017263481753696e-05,4.7226732757883936e-05,0.0,0.0004591487907016494,0.014572070763182635
123,No carb,24.0,COMM10<BT_rep0.0_passage3.0,0.00030661562387845437,0.0003902380667543965,0.0,0.3462805359492763,0.002536547433903577,0.0,0.002954659648283288,0.0,0.001616700562268214,0.11191470271563583
124,No carb,24.0,COMM10<BT_rep1.0_passage3.0,0.00031773893107895116,0.0003389215264842145,0.0,0.3426284806801356,0.0022029899221473947,0.0,0.008176481826431676,0.0,0.001440416487557912,0.08839497062616421
125,No carb,24.0,COMM10<BT_rep2.0_passage3.0,0.0,0.0,0.0,0.3430521203063703,0.0013704464786101253,0.0,0.006950121427237064,0.0,0.001223612927330469,0.040403698860452086
126,No carb,0.0,COMM10<BT_rep0.0_passage4.0,1.533078119392272e-05,1.9511903337719826e-05,0.0,0.017314026797463817,0.00012682737169517885,0.0,0.0001477329824141644,0.0,8.08350281134107e-05,0.005595735135781791
127,No carb,0.0,COMM10<BT_rep1.0_passage4.0,1.5886946553947558e-05,1.6946076324210725e-05,0.0,0.017131424034006783,0.00011014949610736974,0.0,0.0004088240913215838,0.0,7.20208243778956e-05,0.00441974853130821
128,No carb,0.0,COMM10<BT_rep2.0_passage4.0,0.0,0.0,0.0,0.017152606015318515,6.852232393050626e-05,0.0,0.0003475060713618532,0.0,6.118064636652345e-05,0.0020201849430226044
129,No carb,24.0,COMM10<BT_rep1.0_passage4.0,0.0,0.0,0.0,0.3422477583892617,0.002111275167785234,0.0,0.002151489932885906,0.0,0.0016689127516778526,0.02587820134228188
130,No carb,24.0,COMM10<BT_rep2.0_passage4.0,0.0,0.0,0.0,0.38655345328634144,0.0025410251653991216,0.0,0.004273542323625796,0.0,0.00132826315464045,0.0723037160699932
131,No carb,0.0,COMM10<DP,0.0008714521906861395,0.00022802424910443653,3.857812069440617e-05,0.006620969964177459,0.0003968035271424634,0.00037200330669605954,0.0004946266189032792,0.00026522457977404246,0.0006820060622761093,3.0311380545604853e-05
132,No carb,24.0,COMM10<DP_rep0.0_passage1.0,0.005477059044753667,0.011410539676570141,0.003912185031966904,0.4045851353892441,0.01577914629559985,0.04277322301617149,0.0,0.0020864986837156826,0.041338755171116966,0.16613745769086122
133,No carb,24.0,COMM10<DP_rep1.0_passage1.0,0.003658266240211757,0.011350005514503143,0.0066599205911547395,0.4119770596669241,0.02007356347193118,0.026170673872284108,0.0,0.003752067938678725,0.07794921142605052,0.28890923127826185
134,No carb,24.0,COMM10<DP_rep2.0_passage1.0,0.004273219676789203,0.01623823477179897,0.002197655833777304,0.20883835020422656,0.02362480021310602,0.03522353933581957,0.0007325519445924348,0.005249955602912449,0.08473184159119163,0.3063898508257858
135,No carb,0.0,COMM10<DP_rep0.0_passage2.0,0.00027385295223768334,0.0005705269838285071,0.0001956092515983452,0.020229256769462207,0.0007889573147799925,0.0021386611508085744,0.0,0.00010432493418578414,0.0020669377585558484,0.00830687288454306
136,No carb,0.0,COMM10<DP_rep1.0_passage2.0,0.00018291331201058785,0.0005675002757251572,0.00033299602955773696,0.020598852983346204,0.001003678173596559,0.0013085336936142053,0.0,0.00018760339693393624,0.003897460571302526,0.014445461563913093
